Age,Gender,City,AreaType,AnnualIncome,CreditScore,LoanApproved
28,Male,Hyderabad,Urban,394697,698,1
31,Male,Bengaluru,Urban,515532,593,1
33,Female,Mumbai,Urban,271583,708,1
37,Female,Trivandrum,Semi-Urban,352295,742,0
28,Male,Delhi,Urban,1005821,685,1
41,Male,Bengaluru,Urban,825192,631,1
38,Male,Mumbai,Urban,551970,602,1
50,Male,Trivandrum,Semi-Urban,704427,729,1
38,Male,Bengaluru,Urban,409895,685,1
51,Male,Bengaluru,Urban,732318,612,1
58,Female,Hyderabad,Urban,652244,699,1
52,Male,Chennai,Urban,459010,678,1
31,Male,Pune,Urban,535344,759,1
45,Female,Delhi,Urban,521462,639,1
53,Male,Hyderabad,Urban,770000,698,1
58,Female,Trivandrum,Semi-Urban,583725,739,0
61,Female,Hyderabad,Urban,284371,703,0
28,Female,Bengaluru,Urban,510220,672,1
31,Male,Chennai,Urban,443526,663,1
42,Male,Kochi,Semi-Urban,304407,664,1
44,Female,Bengaluru,Urban,447762,654,1
61,Female,Hyderabad,Urban,168299,644,0
37,Male,Chennai,Urban,413843,736,1
32,Male,Chennai,Urban,639220,732,1
52,Male,Kochi,Semi-Urban,690746,716,1
35,Male,Coimbatore,Semi-Urban,700690,691,1
36,Male,Trivandrum,Semi-Urban,791470,689,1
42,Male,Kochi,Semi-Urban,837522,601,1
48,Male,Madurai,Semi-Urban,395093,714,0
40,Female,Bengaluru,Urban,324667,680,1
53,Male,Chennai,Urban,608517,620,1
30,Female,Mumbai,Urban,709321,732,1
60,Female,Hyderabad,Urban,432933,671,0
52,Male,Mumbai,Urban,652928,717,1
53,Female,Chennai,Urban,964506,701,1
22,Female,Bengaluru,Urban,332750,634,0
53,Male,Mumbai,Urban,601182,717,1
53,Male,Pune,Urban,807750,646,1
61,Male,Mumbai,Urban,560444,596,1
33,Female,Bengaluru,Urban,682573,717,1
50,Female,Trivandrum,Semi-Urban,782022,690,0
53,Male,Hyderabad,Urban,539660,685,1
33,Female,Chennai,Urban,387766,717,1
46,Male,Hyderabad,Urban,579828,622,1
42,Male,Trivandrum,Semi-Urban,381062,632,0
59,Female,Coimbatore,Semi-Urban,489918,624,0
22,Male,Delhi,Urban,688389,656,1
58,Female,Hyderabad,Urban,636226,696,1
59,Female,Hyderabad,Urban,799565,781,1
46,Female,Bengaluru,Urban,646402,667,1
35,Male,Pune,Urban,444063,688,1
54,Female,Kochi,Semi-Urban,400657,608,0
62,Female,Bengaluru,Urban,725559,652,1
64,Male,Kochi,Semi-Urban,648043,577,0
60,Male,Mumbai,Urban,561579,793,1
31,Male,Pune,Urban,667763,585,1
23,Female,Coimbatore,Semi-Urban,459148,654,0
26,Female,Chennai,Urban,110899,672,0
29,Male,Trivandrum,Semi-Urban,808554,768,1
26,Female,Mumbai,Urban,729785,691,1
29,Male,Chennai,Urban,582606,609,1
59,Female,Trivandrum,Semi-Urban,420269,664,0
51,Male,Delhi,Urban,557295,683,1
52,Male,Bengaluru,Urban,254066,647,0
61,Male,Kochi,Semi-Urban,622901,642,0
32,Male,Kochi,Semi-Urban,212823,639,0
28,Female,Bengaluru,Urban,621322,640,1
28,Male,Hyderabad,Urban,458923,633,1
48,Male,Delhi,Urban,570480,635,1
40,Male,Bengaluru,Urban,372162,662,1
27,Male,Madurai,Semi-Urban,901635,716,1
31,Female,Bengaluru,Urban,672099,615,1
40,Female,Bengaluru,Urban,462298,638,0
36,Male,Bengaluru,Urban,564104,681,1
24,Male,Delhi,Urban,921216,705,1
26,Male,Kochi,Semi-Urban,410045,753,0
42,Female,Mumbai,Urban,377540,714,1
46,Female,Hyderabad,Urban,368977,686,0
23,Female,Coimbatore,Semi-Urban,463744,677,0
61,Female,Bengaluru,Urban,899011,672,1
62,Female,Hyderabad,Urban,488026,620,0
34,Female,Bengaluru,Urban,516594,698,1
31,Male,Bengaluru,Urban,640330,657,1
38,Male,Hyderabad,Urban,593768,686,1
32,Male,Chennai,Urban,793895,632,1
43,Male,Chennai,Urban,764257,674,1
32,Female,Coimbatore,Semi-Urban,665456,632,0
33,Male,Chennai,Urban,554041,705,1
45,Male,Coimbatore,Semi-Urban,791963,666,1
39,Male,Kochi,Semi-Urban,442557,687,1
56,Male,Hyderabad,Urban,429750,656,1
28,Male,Delhi,Urban,518411,713,1
49,Female,Mumbai,Urban,832349,696,1
52,Female,Bengaluru,Urban,432616,637,0
64,Female,Madurai,Semi-Urban,479924,633,0
38,Male,Delhi,Urban,634794,722,1
26,Male,Madurai,Semi-Urban,588670,564,0
38,Male,Coimbatore,Semi-Urban,524111,747,1
39,Female,Bengaluru,Urban,693407,642,1
42,Male,Chennai,Urban,505377,711,1
57,Male,Bengaluru,Urban,811206,697,1
52,Female,Coimbatore,Semi-Urban,647483,660,0
61,Male,Madurai,Semi-Urban,803297,693,1
23,Male,Delhi,Urban,441873,681,1
48,Male,Bengaluru,Urban,570354,717,1
30,Male,Bengaluru,Urban,220522,640,1
55,Male,Coimbatore,Semi-Urban,867420,712,1
49,Male,Pune,Urban,1058777,582,1
35,Female,Chennai,Urban,542374,708,1
53,Female,Bengaluru,Urban,674545,678,1
27,Male,Hyderabad,Urban,622647,702,1
32,Female,Bengaluru,Urban,341588,708,1
50,Male,Coimbatore,Semi-Urban,849493,751,1
41,Male,Mumbai,Urban,545081,684,1
51,Male,Kochi,Semi-Urban,190337,635,0
44,Female,Mumbai,Urban,456824,769,1
40,Male,Hyderabad,Urban,321122,696,1
57,Female,Chennai,Urban,624443,721,1
24,Female,Coimbatore,Semi-Urban,623244,659,0
48,Male,Trivandrum,Semi-Urban,837232,658,1
64,Female,Hyderabad,Urban,965961,685,1
40,Female,Hyderabad,Urban,982289,706,1
44,Male,Bengaluru,Urban,394928,693,1
52,Male,Bengaluru,Urban,723852,630,1
61,Female,Kochi,Semi-Urban,759369,756,0
56,Female,Delhi,Urban,495302,620,0
54,Male,Mumbai,Urban,657424,696,1
56,Male,Coimbatore,Semi-Urban,679863,681,1
22,Male,Mumbai,Urban,502980,806,1
35,Male,Hyderabad,Urban,856389,658,1
54,Male,Chennai,Urban,647024,618,1
56,Female,Coimbatore,Semi-Urban,565666,712,0
26,Female,Delhi,Urban,355287,654,0
59,Male,Bengaluru,Urban,830265,733,1
62,Female,Kochi,Semi-Urban,614994,723,0
32,Female,Mumbai,Urban,615657,715,1
23,Male,Coimbatore,Semi-Urban,430774,641,0
38,Male,Madurai,Semi-Urban,778759,723,1
60,Male,Delhi,Urban,373048,795,1
41,Female,Trivandrum,Semi-Urban,158385,661,0
35,Male,Bengaluru,Urban,458249,670,1
53,Female,Delhi,Urban,669404,672,1
55,Male,Trivandrum,Semi-Urban,667679,664,1
46,Male,Mumbai,Urban,628098,686,1
28,Male,Delhi,Urban,565581,681,1
56,Male,Madurai,Semi-Urban,631723,677,1
50,Female,Chennai,Urban,1172059,635,0
43,Female,Bengaluru,Urban,649956,739,1
62,Male,Trivandrum,Semi-Urban,515519,698,1
64,Female,Coimbatore,Semi-Urban,579060,728,0
34,Female,Madurai,Semi-Urban,558520,709,1
34,Male,Kochi,Semi-Urban,613863,547,1
22,Female,Coimbatore,Semi-Urban,417702,725,0
57,Male,Trivandrum,Semi-Urban,759787,720,1
25,Male,Bengaluru,Urban,659372,692,1
58,Male,Trivandrum,Semi-Urban,442177,788,0
61,Female,Chennai,Urban,803953,732,1
34,Male,Chennai,Urban,219466,730,1
59,Female,Mumbai,Urban,1030514,595,0
45,Female,Hyderabad,Urban,977040,747,1
40,Male,Hyderabad,Urban,945028,713,1
22,Male,Chennai,Urban,500694,612,1
59,Male,Hyderabad,Urban,648134,695,1
26,Male,Bengaluru,Urban,475635,595,0
37,Male,Mumbai,Urban,686135,714,1
45,Male,Trivandrum,Semi-Urban,603673,689,1
48,Male,Madurai,Semi-Urban,507949,650,0
22,Male,Coimbatore,Semi-Urban,505818,715,1
55,Male,Mumbai,Urban,616497,642,1
57,Male,Trivandrum,Semi-Urban,1187238,686,1
25,Female,Hyderabad,Urban,861106,735,1
21,Female,Bengaluru,Urban,617133,662,1
60,Male,Kochi,Semi-Urban,563762,632,0
32,Male,Kochi,Semi-Urban,724599,734,1
56,Male,Coimbatore,Semi-Urban,477410,685,0
43,Male,Kochi,Semi-Urban,554388,780,1
51,Male,Chennai,Urban,209690,705,1
31,Female,Madurai,Semi-Urban,618170,718,1
30,Female,Kochi,Semi-Urban,623255,698,1
23,Male,Coimbatore,Semi-Urban,491240,707,0
34,Female,Coimbatore,Semi-Urban,690277,710,1
36,Male,Hyderabad,Urban,624893,713,1
30,Male,Bengaluru,Urban,493641,624,1
49,Male,Chennai,Urban,764609,637,1
30,Male,Bengaluru,Urban,564063,713,1
32,Male,Chennai,Urban,390501,684,1
50,Male,Mumbai,Urban,247742,641,0
61,Male,Madurai,Semi-Urban,887081,695,1
21,Male,Madurai,Semi-Urban,625183,760,1
25,Female,Trivandrum,Semi-Urban,616703,689,0
40,Female,Bengaluru,Urban,591240,701,1
28,Male,Hyderabad,Urban,843606,702,1
63,Male,Kochi,Semi-Urban,628521,649,0
32,Male,Bengaluru,Urban,909606,677,1
21,Female,Coimbatore,Semi-Urban,629161,575,0
40,Male,Madurai,Semi-Urban,65058,632,0
48,Male,Hyderabad,Urban,853376,676,1
63,Male,Trivandrum,Semi-Urban,663054,620,0
57,Male,Bengaluru,Urban,498619,678,1
57,Male,Trivandrum,Semi-Urban,548656,665,1
32,Female,Bengaluru,Urban,538451,746,1
57,Female,Chennai,Urban,351694,781,0
64,Male,Trivandrum,Semi-Urban,775444,677,1
48,Male,Trivandrum,Semi-Urban,510827,698,1
35,Male,Kochi,Semi-Urban,426373,740,1
26,Male,Mumbai,Urban,1459771,679,1
64,Female,Kochi,Semi-Urban,369391,701,0
40,Male,Coimbatore,Semi-Urban,582442,610,1
34,Male,Pune,Urban,139899,705,1
22,Male,Madurai,Semi-Urban,850859,743,1
29,Female,Coimbatore,Semi-Urban,543510,624,0
57,Female,Trivandrum,Semi-Urban,763383,597,0
40,Male,Delhi,Urban,411345,744,1
46,Male,Bengaluru,Urban,276865,664,1
49,Male,Chennai,Urban,450802,640,0
21,Female,Coimbatore,Semi-Urban,869095,684,0
55,Male,Coimbatore,Semi-Urban,715438,652,1
26,Male,Kochi,Semi-Urban,276710,628,0
57,Male,Mumbai,Urban,116086,603,0
25,Female,Bengaluru,Urban,535756,770,1
53,Male,Hyderabad,Urban,818474,763,1
34,Male,Mumbai,Urban,448296,667,1
32,Male,Mumbai,Urban,815262,810,1
62,Female,Pune,Urban,625394,746,1
40,Female,Bengaluru,Urban,950553,677,1
44,Female,Delhi,Urban,464257,793,1
63,Male,Hyderabad,Urban,587991,577,1
54,Male,Pune,Urban,468961,669,1
45,Female,Madurai,Semi-Urban,797070,767,1
49,Male,Mumbai,Urban,718163,662,1
59,Female,Pune,Urban,260312,738,0
51,Female,Delhi,Urban,738434,630,0
63,Male,Chennai,Urban,302198,646,0
43,Male,Delhi,Urban,417754,699,1
64,Female,Chennai,Urban,749138,713,1
58,Female,Kochi,Semi-Urban,349107,690,0
40,Male,Pune,Urban,525716,659,1
43,Male,Coimbatore,Semi-Urban,751877,633,1
36,Male,Hyderabad,Urban,683041,798,1
62,Male,Hyderabad,Urban,671344,697,1
28,Male,Bengaluru,Urban,758359,735,1
41,Male,Hyderabad,Urban,861404,729,1
21,Female,Bengaluru,Urban,351894,656,0
28,Female,Mumbai,Urban,666649,682,1
49,Female,Trivandrum,Semi-Urban,792903,641,0
52,Male,Trivandrum,Semi-Urban,753570,718,1
58,Male,Bengaluru,Urban,568134,672,1
25,Female,Hyderabad,Urban,556579,761,1
42,Male,Hyderabad,Urban,764866,599,1
54,Male,Bengaluru,Urban,642805,705,1
21,Male,Hyderabad,Urban,818826,807,1
46,Female,Hyderabad,Urban,621973,643,0
63,Female,Kochi,Semi-Urban,525288,688,0
30,Male,Madurai,Semi-Urban,247306,662,1
50,Female,Mumbai,Urban,553912,724,1
38,Male,Trivandrum,Semi-Urban,353809,579,0
37,Male,Bengaluru,Urban,234091,619,1
46,Female,Madurai,Semi-Urban,426890,630,0
28,Female,Chennai,Urban,740622,724,1
60,Male,Chennai,Urban,551629,671,1
32,Male,Bengaluru,Urban,635635,648,1
47,Female,Hyderabad,Urban,734719,700,1
28,Female,Delhi,Urban,592838,691,1
45,Female,Pune,Urban,462397,670,1
24,Male,Coimbatore,Semi-Urban,510778,655,1
53,Female,Hyderabad,Urban,754485,634,0
21,Female,Delhi,Urban,594757,751,1
39,Male,Kochi,Semi-Urban,91155,754,1
51,Female,Coimbatore,Semi-Urban,529370,614,0
36,Male,Trivandrum,Semi-Urban,706334,660,1
34,Male,Delhi,Urban,636575,702,1
25,Female,Kochi,Semi-Urban,395891,635,0
61,Male,Trivandrum,Semi-Urban,450782,717,0
46,Male,Bengaluru,Urban,210272,690,1
48,Female,Chennai,Urban,709873,721,1
22,Male,Kochi,Semi-Urban,724359,795,1
26,Male,Madurai,Semi-Urban,573321,596,0
29,Female,Mumbai,Urban,529936,753,1
53,Male,Pune,Urban,383705,653,1
61,Male,Chennai,Urban,666474,715,1
45,Male,Mumbai,Urban,271563,708,1
33,Male,Hyderabad,Urban,755365,750,1
29,Female,Pune,Urban,715835,685,1
33,Female,Hyderabad,Urban,833636,641,1
51,Male,Mumbai,Urban,610069,694,1
61,Female,Chennai,Urban,496001,766,0
31,Male,Delhi,Urban,686436,699,1
24,Male,Madurai,Semi-Urban,756183,653,1
54,Female,Hyderabad,Urban,368462,674,0
58,Female,Coimbatore,Semi-Urban,586153,694,0
24,Male,Madurai,Semi-Urban,653072,688,1
58,Male,Bengaluru,Urban,696260,681,1
39,Male,Trivandrum,Semi-Urban,529540,731,1
26,Male,Chennai,Urban,726203,783,1
54,Male,Chennai,Urban,407961,729,1
38,Female,Delhi,Urban,1003608,713,1
33,Male,Trivandrum,Semi-Urban,475124,734,1
61,Female,Mumbai,Urban,681554,714,1
43,Male,Bengaluru,Urban,489492,689,1
39,Male,Madurai,Semi-Urban,619597,653,1
31,Male,Trivandrum,Semi-Urban,384151,653,1
21,Male,Hyderabad,Urban,815114,681,1
44,Female,Mumbai,Urban,436522,697,1
27,Male,Bengaluru,Urban,616318,739,1
45,Male,Hyderabad,Urban,587224,677,1
41,Female,Delhi,Urban,459667,665,1
35,Female,Delhi,Urban,90964,696,1
21,Male,Chennai,Urban,811880,703,1
32,Male,Coimbatore,Semi-Urban,628876,653,1
27,Female,Hyderabad,Urban,251939,646,0
35,Female,Delhi,Urban,217342,714,1
41,Female,Hyderabad,Urban,535589,676,1
39,Male,Mumbai,Urban,583506,741,1
49,Female,Chennai,Urban,557007,696,1
45,Male,Kochi,Semi-Urban,888787,678,1
53,Male,Mumbai,Urban,266086,623,0
52,Female,Bengaluru,Urban,642458,682,1
55,Male,Bengaluru,Urban,729126,633,1
64,Male,Mumbai,Urban,724893,618,1
58,Male,Chennai,Urban,778770,758,1
46,Male,Delhi,Urban,623381,658,1
31,Female,Mumbai,Urban,649225,727,1
55,Female,Kochi,Semi-Urban,534031,627,0
28,Male,Pune,Urban,298073,647,1
34,Male,Delhi,Urban,665758,642,1
30,Female,Coimbatore,Semi-Urban,519471,716,1
22,Female,Trivandrum,Semi-Urban,451200,704,0
29,Male,Pune,Urban,674498,616,1
23,Female,Chennai,Urban,692292,611,0
41,Female,Coimbatore,Semi-Urban,458857,706,0
46,Male,Madurai,Semi-Urban,650001,748,1
28,Male,Mumbai,Urban,583754,745,1
22,Male,Hyderabad,Urban,637977,643,1
26,Female,Pune,Urban,850713,660,1
48,Male,Kochi,Semi-Urban,688506,706,1
49,Male,Hyderabad,Urban,673391,709,1
46,Male,Coimbatore,Semi-Urban,422957,692,0
45,Female,Hyderabad,Urban,451130,661,1
32,Male,Chennai,Urban,696310,703,1
25,Female,Delhi,Urban,282468,688,0
54,Female,Delhi,Urban,528721,690,1
57,Male,Coimbatore,Semi-Urban,447349,724,0
35,Male,Mumbai,Urban,571558,735,1
64,Male,Coimbatore,Semi-Urban,556870,697,1
56,Female,Hyderabad,Urban,626115,694,1
35,Male,Delhi,Urban,693028,672,1
63,Male,Chennai,Urban,793321,686,1
43,Male,Hyderabad,Urban,808359,717,1
26,Male,Madurai,Semi-Urban,552576,704,1
64,Female,Chennai,Urban,481817,652,0
63,Female,Coimbatore,Semi-Urban,442446,650,0
41,Female,Hyderabad,Urban,535520,648,1
43,Male,Bengaluru,Urban,402433,737,1
63,Male,Bengaluru,Urban,693930,596,1
36,Female,Trivandrum,Semi-Urban,804692,612,0
35,Male,Chennai,Urban,295075,649,1
45,Female,Kochi,Semi-Urban,601897,717,1
56,Male,Trivandrum,Semi-Urban,911190,666,1
31,Male,Hyderabad,Urban,303678,638,1
35,Female,Mumbai,Urban,895446,697,1
24,Female,Mumbai,Urban,428039,700,0
41,Female,Pune,Urban,478563,719,1
33,Male,Hyderabad,Urban,723512,748,1
42,Male,Chennai,Urban,701515,741,1
39,Male,Hyderabad,Urban,578918,707,1
54,Female,Kochi,Semi-Urban,447312,675,0
34,Female,Trivandrum,Semi-Urban,351216,701,0
24,Male,Pune,Urban,584671,659,1
47,Female,Madurai,Semi-Urban,557540,724,0
49,Female,Hyderabad,Urban,441545,655,0
48,Female,Mumbai,Urban,548892,642,0
55,Male,Trivandrum,Semi-Urban,650178,727,1
28,Male,Madurai,Semi-Urban,813973,607,1
36,Female,Hyderabad,Urban,639012,650,1
62,Male,Mumbai,Urban,564876,710,1
56,Female,Madurai,Semi-Urban,435311,675,0
50,Female,Hyderabad,Urban,451106,673,0
38,Female,Mumbai,Urban,643289,627,1
22,Male,Madurai,Semi-Urban,654149,631,0
33,Male,Coimbatore,Semi-Urban,555550,670,1
24,Male,Chennai,Urban,781015,604,1
46,Male,Hyderabad,Urban,611767,679,1
45,Male,Hyderabad,Urban,502722,736,1
50,Male,Madurai,Semi-Urban,468991,732,0
31,Male,Pune,Urban,455571,706,1
27,Male,Coimbatore,Semi-Urban,696005,689,1
51,Male,Mumbai,Urban,475731,675,1
64,Male,Bengaluru,Urban,621513,682,1
30,Male,Trivandrum,Semi-Urban,430302,637,0
59,Female,Hyderabad,Urban,566594,651,1
33,Male,Kochi,Semi-Urban,589092,604,1
51,Male,Delhi,Urban,1072828,722,1
27,Female,Mumbai,Urban,338579,674,0
62,Female,Pune,Urban,761732,770,1
62,Male,Bengaluru,Urban,446286,653,1
56,Female,Trivandrum,Semi-Urban,869948,679,0
40,Female,Mumbai,Urban,460394,711,1
24,Female,Trivandrum,Semi-Urban,807247,698,0
27,Male,Kochi,Semi-Urban,644348,676,1
21,Female,Bengaluru,Urban,333725,759,0
64,Male,Hyderabad,Urban,639745,638,1
62,Male,Chennai,Urban,703117,708,1
33,Female,Chennai,Urban,717529,660,1
42,Male,Trivandrum,Semi-Urban,552612,673,1
41,Female,Chennai,Urban,1118925,691,1
42,Male,Mumbai,Urban,989217,674,1
48,Female,Chennai,Urban,667626,672,1
29,Male,Delhi,Urban,336773,610,1
46,Male,Trivandrum,Semi-Urban,399942,720,0
29,Male,Hyderabad,Urban,546206,610,1
35,Male,Delhi,Urban,580797,744,1
30,Male,Coimbatore,Semi-Urban,434776,675,1
44,Female,Bengaluru,Urban,491253,721,1
62,Male,Trivandrum,Semi-Urban,202229,570,0
28,Female,Hyderabad,Urban,167740,678,1
44,Male,Bengaluru,Urban,602751,679,1
36,Male,Delhi,Urban,918478,640,1
46,Female,Chennai,Urban,289781,718,0
47,Male,Coimbatore,Semi-Urban,557325,652,1
57,Female,Bengaluru,Urban,596301,640,0
24,Female,Bengaluru,Urban,674550,663,1
44,Male,Delhi,Urban,497924,722,1
39,Female,Delhi,Urban,379965,692,1
56,Female,Trivandrum,Semi-Urban,729155,697,0
59,Male,Chennai,Urban,209176,714,1
30,Female,Coimbatore,Semi-Urban,676357,670,1
45,Male,Pune,Urban,439216,726,1
38,Male,Mumbai,Urban,648769,696,1
39,Female,Trivandrum,Semi-Urban,832101,717,1
56,Female,Delhi,Urban,462731,645,0
30,Female,Bengaluru,Urban,526364,684,1
53,Female,Hyderabad,Urban,515881,722,1
25,Female,Bengaluru,Urban,1055694,762,1
55,Female,Pune,Urban,574404,727,1
64,Male,Chennai,Urban,565228,729,1
54,Male,Kochi,Semi-Urban,582702,609,0
53,Male,Hyderabad,Urban,870578,666,1
41,Female,Kochi,Semi-Urban,472407,707,0
37,Male,Chennai,Urban,758666,618,1
42,Male,Coimbatore,Semi-Urban,448199,699,1
57,Male,Bengaluru,Urban,434324,663,1
35,Female,Madurai,Semi-Urban,674164,666,1
55,Female,Coimbatore,Semi-Urban,842845,683,0
48,Male,Kochi,Semi-Urban,523334,697,1
27,Male,Bengaluru,Urban,521925,716,1
52,Male,Chennai,Urban,727046,626,1
31,Male,Madurai,Semi-Urban,597870,727,1
30,Male,Bengaluru,Urban,736000,711,1
29,Female,Chennai,Urban,274927,667,1
34,Female,Delhi,Urban,392131,727,1
33,Male,Hyderabad,Urban,587674,596,1
45,Male,Chennai,Urban,690364,688,1
22,Male,Delhi,Urban,574027,652,1
55,Male,Hyderabad,Urban,615968,627,1
27,Male,Bengaluru,Urban,721310,605,1
41,Male,Delhi,Urban,350662,711,1
38,Male,Hyderabad,Urban,721274,705,1
23,Female,Trivandrum,Semi-Urban,810123,739,0
62,Female,Bengaluru,Urban,531431,713,1
59,Female,Kochi,Semi-Urban,427773,665,0
61,Male,Mumbai,Urban,777755,815,1
31,Female,Mumbai,Urban,943904,730,1
59,Female,Chennai,Urban,629556,622,0
44,Male,Bengaluru,Urban,423418,673,1
39,Male,Coimbatore,Semi-Urban,598830,691,1
24,Male,Hyderabad,Urban,433250,666,1
46,Male,Kochi,Semi-Urban,743219,782,1
58,Male,Pune,Urban,589877,665,1
62,Male,Delhi,Urban,414407,660,1
52,Male,Mumbai,Urban,639885,717,1
59,Male,Chennai,Urban,468924,686,1
56,Male,Pune,Urban,336988,668,1
60,Female,Kochi,Semi-Urban,751855,788,0
57,Male,Kochi,Semi-Urban,659726,756,1
53,Female,Mumbai,Urban,506169,609,0
56,Male,Coimbatore,Semi-Urban,854414,773,1
23,Male,Trivandrum,Semi-Urban,450652,671,0
29,Male,Hyderabad,Urban,513063,736,1
28,Male,Delhi,Urban,675009,779,1
53,Male,Mumbai,Urban,775253,720,1
26,Male,Bengaluru,Urban,678193,794,1
61,Male,Coimbatore,Semi-Urban,487208,722,0
59,Female,Bengaluru,Urban,552529,711,1
24,Male,Mumbai,Urban,470939,730,1
33,Female,Hyderabad,Urban,533534,618,1
22,Male,Hyderabad,Urban,548676,669,1
25,Female,Mumbai,Urban,683257,626,0
64,Male,Pune,Urban,461997,671,1
47,Female,Mumbai,Urban,790963,702,1
52,Female,Chennai,Urban,595004,672,1
41,Female,Kochi,Semi-Urban,429218,672,0
28,Male,Chennai,Urban,677720,612,1
58,Female,Bengaluru,Urban,575973,653,1
28,Male,Bengaluru,Urban,507983,763,1
23,Female,Bengaluru,Urban,883303,652,1
64,Male,Mumbai,Urban,537469,662,1
23,Male,Mumbai,Urban,509184,691,1
42,Male,Chennai,Urban,792140,698,1
26,Male,Coimbatore,Semi-Urban,700773,673,1
22,Female,Bengaluru,Urban,750884,610,0
43,Female,Madurai,Semi-Urban,487383,707,0
64,Female,Delhi,Urban,643983,776,1
22,Female,Bengaluru,Urban,322723,771,0
58,Female,Pune,Urban,215910,644,0
37,Male,Hyderabad,Urban,481816,700,1
55,Male,Mumbai,Urban,609433,806,1
54,Male,Hyderabad,Urban,1080040,679,1
43,Male,Trivandrum,Semi-Urban,849954,692,1
50,Male,Mumbai,Urban,381300,605,0
28,Male,Bengaluru,Urban,775119,732,1
42,Male,Bengaluru,Urban,330891,693,1
64,Male,Trivandrum,Semi-Urban,906607,635,0
56,Female,Chennai,Urban,498936,714,0
25,Male,Bengaluru,Urban,485086,728,1
33,Male,Mumbai,Urban,804042,645,1
49,Male,Coimbatore,Semi-Urban,488176,596,0
51,Male,Hyderabad,Urban,949653,686,1
36,Male,Hyderabad,Urban,485974,714,1
62,Male,Coimbatore,Semi-Urban,777496,693,1
50,Male,Bengaluru,Urban,623193,737,1
36,Male,Kochi,Semi-Urban,735759,594,1
32,Male,Pune,Urban,398456,629,1
37,Male,Coimbatore,Semi-Urban,233310,691,1
36,Female,Bengaluru,Urban,412252,602,0
32,Male,Hyderabad,Urban,519222,642,1
28,Male,Bengaluru,Urban,560014,653,1
40,Male,Pune,Urban,503188,730,1
23,Female,Pune,Urban,172685,745,0
36,Male,Chennai,Urban,472255,716,1
50,Female,Kochi,Semi-Urban,607910,773,0
43,Female,Coimbatore,Semi-Urban,551329,749,1
48,Male,Chennai,Urban,525129,719,1
60,Male,Chennai,Urban,507982,717,1
25,Male,Bengaluru,Urban,611284,650,1
40,Male,Mumbai,Urban,390557,610,1
60,Male,Madurai,Semi-Urban,550944,644,0
64,Male,Madurai,Semi-Urban,518487,722,1
21,Male,Bengaluru,Urban,350228,664,1
50,Male,Chennai,Urban,563701,710,1
41,Female,Mumbai,Urban,202772,588,0
40,Male,Coimbatore,Semi-Urban,464213,706,1
26,Female,Kochi,Semi-Urban,667372,637,0
42,Female,Delhi,Urban,682381,643,1
38,Female,Delhi,Urban,602637,763,1
28,Female,Bengaluru,Urban,644958,787,1
59,Male,Mumbai,Urban,723971,626,1
52,Male,Pune,Urban,620927,668,1
53,Male,Bengaluru,Urban,835306,673,1
36,Male,Delhi,Urban,175691,716,1
32,Female,Hyderabad,Urban,764959,656,1
58,Female,Delhi,Urban,165074,639,0
54,Male,Delhi,Urban,474666,694,1
34,Male,Delhi,Urban,746091,684,1
56,Male,Madurai,Semi-Urban,724023,723,1
53,Male,Hyderabad,Urban,406013,645,0
43,Male,Delhi,Urban,590399,669,1
22,Male,Bengaluru,Urban,480944,718,1
61,Female,Coimbatore,Semi-Urban,769481,676,0
41,Male,Chennai,Urban,584532,596,1
22,Female,Coimbatore,Semi-Urban,470363,761,0
47,Female,Chennai,Urban,676352,675,1
29,Female,Bengaluru,Urban,715817,676,1
21,Male,Chennai,Urban,560964,806,1
31,Female,Pune,Urban,730669,785,1
23,Female,Hyderabad,Urban,912322,727,1
43,Male,Bengaluru,Urban,183902,625,1
46,Male,Bengaluru,Urban,841208,748,1
24,Female,Hyderabad,Urban,886412,591,0
38,Male,Bengaluru,Urban,689826,686,1
26,Male,Delhi,Urban,537497,656,1
55,Male,Chennai,Urban,288265,644,0
42,Female,Delhi,Urban,608492,691,1
63,Female,Bengaluru,Urban,519489,710,1
35,Male,Mumbai,Urban,321785,719,1
42,Male,Delhi,Urban,468662,675,1
57,Female,Bengaluru,Urban,592024,669,1
62,Female,Mumbai,Urban,653884,722,1
32,Female,Hyderabad,Urban,395066,723,1
62,Male,Chennai,Urban,123981,686,1
58,Male,Delhi,Urban,548867,636,1
38,Male,Delhi,Urban,416403,595,1
55,Female,Kochi,Semi-Urban,512730,712,0
50,Male,Chennai,Urban,190632,728,1
44,Male,Hyderabad,Urban,535846,669,1
62,Male,Chennai,Urban,674470,698,1
50,Male,Delhi,Urban,511319,746,1
34,Female,Mumbai,Urban,620664,780,1
26,Male,Hyderabad,Urban,541164,660,1
23,Female,Coimbatore,Semi-Urban,205773,675,0
36,Female,Bengaluru,Urban,616205,702,1
27,Male,Pune,Urban,443090,619,0
34,Female,Bengaluru,Urban,335050,572,0
29,Female,Coimbatore,Semi-Urban,735640,613,0
35,Female,Hyderabad,Urban,653877,666,1
41,Male,Madurai,Semi-Urban,477551,643,0
55,Male,Bengaluru,Urban,568974,639,1
22,Male,Hyderabad,Urban,632085,682,1
47,Female,Hyderabad,Urban,260261,679,0
22,Female,Pune,Urban,371901,642,0
55,Female,Pune,Urban,381448,599,0
